Flight_ID,Airline,Departure_City,Arrival_City,Departure_Time,Arrival_Time,Flight_Type,Aircraft_Type,Seats_Available,Price,Meal_Option,Flight_Status,Gate_Number,Gate_Type,Duration (hrs),Baggage_Allowance,Cancellation_Policy,Seat_Class,WiFi_Available,Entertainment_Options,Loyalty_Points_Earned,Layovers,Boarding_Group,Eco_Friendly_Flight,Crew_Language_Support,Inflight_Services,Seat_Availability,Ticket_Flexibility,Discounts_Available,Customer_Rating
255,Southwest,Boston,Las Vegas,08:00 AM,04:00 PM,International,Boeing 737,13,231,Non-Vegetarian,Delayed,17,Domestic,3.7,25kg,Non-refundable,Business,No,Games,1187,1 Stop,Group C,No,Multilingual,None,Limited Availability,Changeable with Fee,Student Discount,3.3
256,United,Atlanta,Las Vegas,12:00 PM,02:00 PM,Domestic,Embraer E190,8,695,Vegetarian,Delayed,40,Domestic,2.9,20kg,Non-refundable,Premium Economy,Yes,Music,4210,2 Stops,Group C,No,English,None,Available,Fully Flexible,None,3.7
257,JetBlue,Dallas,Washington D.C.,12:00 PM,06:00 PM,Domestic,Airbus A350,13,794,Gluten-Free,Delayed,12,International,5.2,25kg,Non-refundable,Economy,No,None,2011,None,Group C,Yes,Multilingual,None,Fully Booked,Non-Changeable,Student Discount,3.7
258,Delta,Houston,Phoenix,06:00 AM,06:00 AM,International,Boeing 777,13,183,Vegetarian,Delayed,21,Domestic,6.5,25kg,Fully Refundable,Economy,Yes,Music,1016,3+ Stops,Group C,No,French,Extra Legroom,Fully Booked,Fully Flexible,Student Discount,4.3
259,Spirit,Dallas,San Francisco,08:00 AM,04:00 PM,Domestic,Airbus A320,30,562,None,On Time,14,Domestic,2.1,30kg,Fully Refundable,Premium Economy,No,Music,4727,2 Stops,Group B,Yes,Multilingual,Priority Boarding,Fully Booked,Non-Changeable,Student Discount,4.4
260,Frontier,San Francisco,Orlando,12:00 PM,04:00 PM,Domestic,Boeing 777,8,701,None,On Time,35,Domestic,6.3,Unlimited,Non-refundable,Premium Economy,No,Games,2668,3+ Stops,Group D,Yes,Spanish,None,Available,Non-Changeable,None,5.0
261,Spirit,Miami,Houston,02:00 PM,06:00 AM,Domestic,Embraer E190,28,181,Gluten-Free,Delayed,44,Domestic,6.2,25kg,Fully Refundable,First Class,Yes,Games,3479,2 Stops,Group A,Yes,English,Priority Boarding,Limited Availability,Non-Changeable,Frequent Flyer Discount,4.3
262,JetBlue,Seattle,Seattle,06:00 PM,02:00 PM,Domestic,Boeing 737,12,442,Gluten-Free,On Time,24,Domestic,10.5,20kg,Non-refundable,First Class,Yes,Movies & TV,1867,None,Group A,No,Multilingual,Priority Boarding,Fully Booked,Fully Flexible,Frequent Flyer Discount,4.8
263,JetBlue,Boston,Boston,10:00 AM,12:00 PM,International,Boeing 777,24,603,Vegetarian,Cancelled,47,Domestic,10.5,25kg,Non-refundable,First Class,No,Music,2532,1 Stop,Group C,Yes,Multilingual,Priority Boarding,Fully Booked,Fully Flexible,Frequent Flyer Discount,4.9
264,Frontier,Seattle,New York,12:00 PM,08:00 PM,Domestic,Boeing 737,24,315,Vegetarian,Delayed,42,International,11.6,30kg,Refundable with Fee,Premium Economy,No,None,1788,3+ Stops,Group C,No,Chinese,Extra Legroom,Available,Fully Flexible,Frequent Flyer Discount,4.3
265,Southwest,Boston,Seattle,08:00 AM,10:00 AM,International,Embraer E190,23,689,Gluten-Free,On Time,24,International,6.1,25kg,Fully Refundable,Economy,No,None,3966,2 Stops,Group C,Yes,English,Sleep Kit,Fully Booked,Fully Flexible,None,4.6
266,Alaska Airlines,Washington D.C.,Chicago,06:00 PM,10:00 AM,International,Boeing 777,11,797,Non-Vegetarian,Cancelled,45,Domestic,10.1,20kg,Non-refundable,Business,No,Movies & TV,4070,3+ Stops,Group A,Yes,Spanish,Priority Boarding,Fully Booked,Fully Flexible,Frequent Flyer Discount,4.0
267,Alaska Airlines,Miami,Houston,06:00 PM,08:00 AM,Domestic,Boeing 777,10,204,None,Delayed,38,International,6.2,20kg,Fully Refundable,Premium Economy,Yes,Music,2853,None,Group A,No,Chinese,Sleep Kit,Fully Booked,Non-Changeable,None,4.3
268,Alaska Airlines,Boston,Seattle,06:00 AM,12:00 PM,Domestic,Boeing 737,15,596,Gluten-Free,Cancelled,44,International,4.1,Unlimited,Non-refundable,First Class,Yes,Games,3525,3+ Stops,Group D,Yes,French,Priority Boarding,Available,Non-Changeable,Frequent Flyer Discount,3.2
269,Alaska Airlines,Phoenix,Los Angeles,08:00 PM,02:00 PM,International,Embraer E190,6,261,Non-Vegetarian,On Time,18,International,2.1,15kg,Refundable with Fee,Business,Yes,Games,2095,2 Stops,Group B,Yes,Chinese,None,Available,Changeable with Fee,Student Discount,4.6
270,JetBlue,Atlanta,Dallas,06:00 AM,08:00 AM,International,Boeing 737,13,397,None,Delayed,47,Domestic,9.2,20kg,Fully Refundable,Economy,Yes,Movies & TV,3238,2 Stops,Group B,No,Spanish,Complimentary Drinks,Available,Non-Changeable,Military Discount,4.7
271,Delta,Phoenix,Chicago,04:00 PM,12:00 PM,International,Airbus A320,17,474,None,Delayed,28,Domestic,3.0,25kg,Non-refundable,First Class,Yes,Music,1324,1 Stop,Group C,Yes,French,Extra Legroom,Available,Changeable with Fee,Military Discount,3.8
272,Southwest,Washington D.C.,Chicago,02:00 PM,04:00 PM,Domestic,Boeing 737,23,288,Vegetarian,On Time,16,International,11.4,Unlimited,Non-refundable,Premium Economy,No,Games,2396,None,Group D,No,Spanish,Sleep Kit,Fully Booked,Non-Changeable,Frequent Flyer Discount,3.5
273,United,Atlanta,Atlanta,10:00 AM,06:00 AM,International,Airbus A320,5,301,Non-Vegetarian,Delayed,20,International,5.0,Unlimited,Refundable with Fee,Economy,Yes,Music,1277,2 Stops,Group D,No,English,Complimentary Drinks,Available,Changeable with Fee,Frequent Flyer Discount,4.2
274,Alaska Airlines,Orlando,Boston,12:00 PM,08:00 AM,Domestic,Airbus A320,9,140,Vegetarian,On Time,41,International,8.7,15kg,Refundable with Fee,First Class,Yes,Music,888,None,Group C,No,Multilingual,Complimentary Drinks,Fully Booked,Fully Flexible,Military Discount,4.4
275,United,Seattle,Denver,08:00 PM,12:00 PM,Domestic,Airbus A350,11,506,Vegan,Cancelled,43,Domestic,3.5,25kg,Non-refundable,First Class,Yes,None,2178,1 Stop,Group D,No,English,Priority Boarding,Limited Availability,Fully Flexible,Frequent Flyer Discount,4.2
276,Southwest,Boston,Washington D.C.,10:00 AM,06:00 PM,Domestic,Airbus A350,20,550,None,On Time,38,Domestic,1.8,30kg,Non-refundable,First Class,No,Games,1775,3+ Stops,Group A,Yes,Multilingual,Extra Legroom,Available,Fully Flexible,Student Discount,4.8
277,Spirit,Houston,Miami,08:00 AM,08:00 AM,Domestic,Boeing 777,28,319,Gluten-Free,Cancelled,25,Domestic,1.9,Unlimited,Fully Refundable,Premium Economy,No,Games,4799,2 Stops,Group A,No,English,None,Available,Changeable with Fee,Military Discount,3.6
278,Frontier,Los Angeles,Los Angeles,04:00 PM,04:00 PM,International,Boeing 737,28,765,Vegetarian,On Time,9,Domestic,11.0,30kg,Non-refundable,Premium Economy,Yes,Music,1191,1 Stop,Group D,No,French,Extra Legroom,Available,Fully Flexible,None,4.6
279,JetBlue,Houston,Washington D.C.,08:00 AM,02:00 PM,Domestic,Airbus A350,18,788,None,On Time,35,International,11.1,20kg,Fully Refundable,Business,Yes,Music,1597,2 Stops,Group B,Yes,French,Sleep Kit,Fully Booked,Changeable with Fee,None,4.7
280,Southwest,Atlanta,Washington D.C.,10:00 AM,04:00 PM,Domestic,Boeing 777,27,732,Non-Vegetarian,On Time,3,International,2.6,20kg,Non-refundable,First Class,Yes,Games,4120,2 Stops,Group C,Yes,French,Extra Legroom,Available,Fully Flexible,Military Discount,3.5
281,Frontier,Chicago,Charlotte,06:00 PM,10:00 AM,Domestic,Airbus A350,24,218,Vegetarian,Cancelled,39,International,9.9,20kg,Refundable with Fee,Business,Yes,None,4447,None,Group B,Yes,Spanish,Complimentary Drinks,Fully Booked,Fully Flexible,Military Discount,3.6
282,United,New York,Atlanta,02:00 PM,10:00 AM,Domestic,Airbus A350,5,589,Gluten-Free,Delayed,27,Domestic,4.9,30kg,Refundable with Fee,First Class,Yes,Games,4763,2 Stops,Group C,Yes,Multilingual,Priority Boarding,Available,Changeable with Fee,None,3.2
283,Alaska Airlines,Charlotte,Atlanta,12:00 PM,12:00 PM,International,Boeing 737,28,563,None,Delayed,21,Domestic,10.1,Unlimited,Non-refundable,Premium Economy,No,Music,3728,None,Group C,Yes,Spanish,Complimentary Drinks,Limited Availability,Fully Flexible,None,4.8
284,Spirit,Boston,Boston,02:00 PM,06:00 AM,Domestic,Airbus A350,11,491,Vegetarian,Delayed,34,Domestic,10.1,Unlimited,Non-refundable,First Class,No,None,1982,1 Stop,Group D,Yes,Multilingual,Extra Legroom,Fully Booked,Non-Changeable,Senior Citizen Discount,4.5
285,Spirit,Atlanta,Las Vegas,04:00 PM,08:00 PM,International,Boeing 737,15,483,Vegan,Delayed,2,International,2.7,25kg,Fully Refundable,Economy,Yes,Music,4386,1 Stop,Group C,No,English,Sleep Kit,Fully Booked,Fully Flexible,Senior Citizen Discount,3.4
286,Delta,Los Angeles,Denver,02:00 PM,08:00 PM,International,Embraer E190,22,158,Non-Vegetarian,Delayed,30,International,1.8,25kg,Refundable with Fee,Premium Economy,Yes,Movies & TV,1445,None,Group C,No,Multilingual,Complimentary Drinks,Limited Availability,Changeable with Fee,Senior Citizen Discount,3.5
287,American,Los Angeles,Dallas,06:00 PM,08:00 PM,Domestic,Boeing 777,13,420,Vegetarian,Cancelled,6,International,5.6,15kg,Fully Refundable,Business,No,None,1671,2 Stops,Group A,Yes,English,None,Limited Availability,Fully Flexible,Military Discount,3.1
288,American,San Francisco,Boston,04:00 PM,06:00 AM,International,Boeing 737,10,344,Non-Vegetarian,On Time,5,Domestic,6.7,30kg,Fully Refundable,Business,No,Movies & TV,1687,3+ Stops,Group C,Yes,Chinese,Priority Boarding,Limited Availability,Fully Flexible,Frequent Flyer Discount,3.7
289,Spirit,Los Angeles,Orlando,10:00 AM,08:00 AM,International,Airbus A350,13,410,Non-Vegetarian,Cancelled,49,International,4.5,25kg,Fully Refundable,Premium Economy,Yes,Movies & TV,4530,2 Stops,Group D,Yes,Spanish,Sleep Kit,Limited Availability,Changeable with Fee,Frequent Flyer Discount,3.3
290,Southwest,Charlotte,Seattle,08:00 PM,08:00 AM,International,Boeing 777,8,304,Non-Vegetarian,Cancelled,44,Domestic,7.0,20kg,Non-refundable,Economy,No,Games,2624,None,Group A,No,English,None,Available,Changeable with Fee,None,3.5
291,Frontier,New York,Atlanta,12:00 PM,08:00 AM,International,Airbus A320,10,307,Gluten-Free,Cancelled,16,Domestic,1.3,30kg,Non-refundable,Business,Yes,Games,2002,None,Group C,No,Chinese,Extra Legroom,Limited Availability,Fully Flexible,None,3.5
292,Frontier,Houston,Seattle,10:00 AM,02:00 PM,International,Airbus A320,24,674,Vegan,Cancelled,8,Domestic,5.2,30kg,Refundable with Fee,Premium Economy,No,Movies & TV,1714,2 Stops,Group B,No,Spanish,Complimentary Drinks,Limited Availability,Changeable with Fee,Frequent Flyer Discount,3.3
293,JetBlue,Chicago,Atlanta,04:00 PM,06:00 AM,Domestic,Airbus A350,11,128,Gluten-Free,On Time,23,Domestic,10.9,20kg,Fully Refundable,Economy,No,Music,4056,3+ Stops,Group B,Yes,French,Extra Legroom,Fully Booked,Non-Changeable,Senior Citizen Discount,3.1
294,American,Houston,Atlanta,10:00 AM,08:00 AM,Domestic,Boeing 777,17,295,None,On Time,15,International,8.5,20kg,Fully Refundable,Economy,No,Movies & TV,2958,1 Stop,Group C,No,French,Complimentary Drinks,Fully Booked,Changeable with Fee,Military Discount,3.5
295,Southwest,New York,Phoenix,10:00 AM,02:00 PM,International,Airbus A350,15,412,None,Delayed,23,International,6.0,30kg,Non-refundable,Premium Economy,Yes,Games,1811,None,Group D,Yes,Multilingual,Sleep Kit,Fully Booked,Fully Flexible,Military Discount,4.6
296,Delta,Chicago,Boston,06:00 PM,06:00 PM,International,Boeing 737,25,202,Vegetarian,Delayed,31,International,7.5,20kg,Fully Refundable,Economy,No,Movies & TV,4227,None,Group D,No,Chinese,None,Available,Changeable with Fee,Student Discount,3.4
297,Frontier,Miami,Los Angeles,08:00 PM,12:00 PM,International,Boeing 737,16,671,Gluten-Free,Cancelled,28,Domestic,9.7,25kg,Refundable with Fee,Business,No,None,4628,None,Group A,Yes,Multilingual,None,Fully Booked,Changeable with Fee,Frequent Flyer Discount,3.8
298,JetBlue,New York,Chicago,08:00 PM,10:00 AM,Domestic,Boeing 777,19,553,Gluten-Free,On Time,40,International,7.1,Unlimited,Fully Refundable,First Class,Yes,Music,1332,2 Stops,Group C,No,French,Extra Legroom,Available,Non-Changeable,None,4.5
299,Southwest,Las Vegas,Chicago,06:00 PM,06:00 PM,International,Boeing 737,29,136,None,Delayed,46,Domestic,3.0,20kg,Fully Refundable,Premium Economy,No,Games,1329,3+ Stops,Group C,Yes,Chinese,Extra Legroom,Limited Availability,Non-Changeable,Frequent Flyer Discount,3.6
300,Spirit,Denver,Charlotte,04:00 PM,08:00 PM,International,Embraer E190,11,729,None,On Time,40,Domestic,3.7,Unlimited,Refundable with Fee,Premium Economy,No,Movies & TV,1754,3+ Stops,Group B,No,Multilingual,Complimentary Drinks,Available,Non-Changeable,None,3.8
301,American,Miami,Atlanta,06:00 AM,02:00 PM,Domestic,Airbus A350,13,509,Gluten-Free,Cancelled,17,Domestic,1.9,20kg,Refundable with Fee,Economy,Yes,Games,3479,3+ Stops,Group D,Yes,Chinese,None,Available,Changeable with Fee,None,5.0
302,Frontier,Denver,Las Vegas,12:00 PM,08:00 AM,International,Airbus A350,13,359,Non-Vegetarian,On Time,18,Domestic,5.0,30kg,Refundable with Fee,Business,No,Music,3260,1 Stop,Group A,No,Multilingual,None,Limited Availability,Changeable with Fee,Military Discount,3.3
303,Spirit,Seattle,Atlanta,10:00 AM,06:00 AM,International,Airbus A350,22,547,Gluten-Free,On Time,36,Domestic,9.3,Unlimited,Fully Refundable,First Class,No,None,4466,None,Group D,Yes,Multilingual,Sleep Kit,Available,Non-Changeable,None,4.5
304,Frontier,Boston,Denver,08:00 PM,04:00 PM,Domestic,Embraer E190,10,192,Vegetarian,Cancelled,17,Domestic,3.6,25kg,Non-refundable,Economy,No,Games,1401,3+ Stops,Group B,Yes,English,Extra Legroom,Available,Non-Changeable,Senior Citizen Discount,4.6
305,Alaska Airlines,Miami,New York,02:00 PM,08:00 PM,International,Boeing 737,30,308,Non-Vegetarian,Delayed,15,Domestic,4.3,30kg,Non-refundable,Economy,Yes,None,4413,None,Group C,No,English,None,Fully Booked,Changeable with Fee,Military Discount,3.6
306,American,Boston,Phoenix,08:00 PM,02:00 PM,Domestic,Embraer E190,13,231,Non-Vegetarian,On Time,28,International,4.6,15kg,Non-refundable,Premium Economy,Yes,Games,3316,1 Stop,Group D,No,English,None,Available,Non-Changeable,Student Discount,3.2
307,Delta,Las Vegas,Orlando,02:00 PM,04:00 PM,International,Boeing 777,19,418,None,On Time,14,International,7.4,Unlimited,Fully Refundable,Premium Economy,Yes,Movies & TV,2967,3+ Stops,Group C,Yes,Multilingual,Sleep Kit,Limited Availability,Fully Flexible,Frequent Flyer Discount,3.3
308,Frontier,Chicago,Houston,02:00 PM,06:00 AM,Domestic,Airbus A320,7,384,Vegetarian,Cancelled,33,International,10.2,15kg,Refundable with Fee,Business,Yes,None,1473,2 Stops,Group D,No,Multilingual,Complimentary Drinks,Available,Fully Flexible,Senior Citizen Discount,4.4
309,Southwest,New York,Houston,06:00 PM,06:00 PM,Domestic,Embraer E190,13,700,None,On Time,14,Domestic,3.1,25kg,Fully Refundable,Premium Economy,No,Music,1604,3+ Stops,Group B,Yes,English,Priority Boarding,Fully Booked,Non-Changeable,Frequent Flyer Discount,3.8
310,JetBlue,San Francisco,Dallas,08:00 PM,12:00 PM,International,Boeing 737,12,789,Non-Vegetarian,Delayed,5,Domestic,6.6,15kg,Fully Refundable,Economy,No,Games,3374,1 Stop,Group A,Yes,French,Sleep Kit,Limited Availability,Fully Flexible,Student Discount,3.5
311,Alaska Airlines,San Francisco,Washington D.C.,02:00 PM,06:00 AM,Domestic,Boeing 737,29,107,Vegan,On Time,34,International,9.9,30kg,Refundable with Fee,Economy,Yes,Movies & TV,4335,2 Stops,Group B,Yes,Multilingual,None,Limited Availability,Fully Flexible,Military Discount,4.8
312,Delta,New York,Denver,08:00 PM,04:00 PM,Domestic,Boeing 737,15,578,Non-Vegetarian,Cancelled,31,Domestic,5.4,20kg,Non-refundable,Business,Yes,Movies & TV,2780,2 Stops,Group B,Yes,Multilingual,Priority Boarding,Available,Fully Flexible,Military Discount,3.5
313,Frontier,Orlando,Atlanta,06:00 PM,06:00 AM,International,Embraer E190,19,589,Vegan,On Time,14,Domestic,8.8,Unlimited,Fully Refundable,Premium Economy,No,None,1108,None,Group C,Yes,Spanish,Extra Legroom,Fully Booked,Fully Flexible,Senior Citizen Discount,3.9
314,Alaska Airlines,Seattle,Boston,02:00 PM,10:00 AM,International,Embraer E190,27,282,Non-Vegetarian,On Time,1,Domestic,8.1,Unlimited,Non-refundable,First Class,No,Music,2152,3+ Stops,Group B,No,Multilingual,Sleep Kit,Limited Availability,Non-Changeable,Student Discount,4.0
315,Spirit,Seattle,Denver,12:00 PM,02:00 PM,International,Airbus A320,11,177,Vegetarian,Cancelled,6,International,8.0,25kg,Fully Refundable,Business,No,Games,2489,None,Group A,Yes,French,None,Available,Fully Flexible,Frequent Flyer Discount,3.9
316,JetBlue,Boston,Charlotte,10:00 AM,10:00 AM,International,Airbus A320,28,796,Gluten-Free,On Time,4,Domestic,4.8,20kg,Fully Refundable,Business,Yes,Movies & TV,1071,3+ Stops,Group D,Yes,Chinese,Extra Legroom,Available,Fully Flexible,Student Discount,4.3
317,United,Los Angeles,Washington D.C.,12:00 PM,04:00 PM,Domestic,Boeing 777,29,248,Vegetarian,On Time,33,International,2.0,Unlimited,Non-refundable,Premium Economy,No,None,4212,2 Stops,Group D,No,Chinese,Complimentary Drinks,Limited Availability,Fully Flexible,None,4.4
318,Alaska Airlines,Orlando,Orlando,06:00 PM,12:00 PM,Domestic,Airbus A320,22,220,Gluten-Free,Cancelled,5,International,9.9,Unlimited,Non-refundable,Economy,Yes,Music,2386,2 Stops,Group B,No,Multilingual,Complimentary Drinks,Available,Changeable with Fee,Frequent Flyer Discount,4.3
319,JetBlue,Phoenix,Miami,04:00 PM,06:00 PM,International,Airbus A320,6,203,Vegan,Cancelled,22,International,10.4,15kg,Fully Refundable,First Class,Yes,Music,1943,3+ Stops,Group B,Yes,French,Sleep Kit,Fully Booked,Non-Changeable,Frequent Flyer Discount,3.5
320,Spirit,Denver,Boston,04:00 PM,08:00 PM,Domestic,Boeing 777,15,714,Non-Vegetarian,Cancelled,32,Domestic,1.5,Unlimited,Non-refundable,First Class,Yes,Games,1863,None,Group B,No,French,Extra Legroom,Limited Availability,Fully Flexible,None,4.0
321,Spirit,Houston,San Francisco,10:00 AM,10:00 AM,International,Embraer E190,25,382,Gluten-Free,On Time,39,International,3.9,Unlimited,Non-refundable,Economy,No,Movies & TV,3899,1 Stop,Group A,No,Chinese,Priority Boarding,Limited Availability,Changeable with Fee,Frequent Flyer Discount,4.5
322,Southwest,Chicago,Denver,04:00 PM,08:00 PM,International,Embraer E190,15,228,Gluten-Free,Delayed,33,International,4.6,20kg,Refundable with Fee,First Class,No,Games,4618,2 Stops,Group A,No,French,Extra Legroom,Limited Availability,Non-Changeable,Senior Citizen Discount,3.3
323,Spirit,Charlotte,Chicago,10:00 AM,12:00 PM,Domestic,Boeing 737,20,476,Non-Vegetarian,Cancelled,23,International,10.8,30kg,Non-refundable,Economy,Yes,Movies & TV,1355,None,Group C,No,Spanish,Priority Boarding,Available,Non-Changeable,Senior Citizen Discount,3.5
324,Spirit,Houston,Houston,10:00 AM,08:00 AM,Domestic,Boeing 737,23,356,Gluten-Free,Cancelled,50,International,5.0,Unlimited,Fully Refundable,First Class,No,Games,2241,3+ Stops,Group A,Yes,Chinese,Complimentary Drinks,Fully Booked,Fully Flexible,Senior Citizen Discount,4.3
325,Frontier,Miami,Las Vegas,12:00 PM,02:00 PM,Domestic,Boeing 737,13,729,Vegetarian,Cancelled,15,Domestic,2.3,25kg,Fully Refundable,Business,No,None,3167,3+ Stops,Group D,No,Spanish,Extra Legroom,Available,Fully Flexible,Senior Citizen Discount,3.6
326,Southwest,New York,Phoenix,06:00 PM,08:00 AM,Domestic,Embraer E190,14,403,Vegan,On Time,28,Domestic,9.2,30kg,Fully Refundable,Economy,No,Movies & TV,902,1 Stop,Group B,No,English,Priority Boarding,Fully Booked,Fully Flexible,Student Discount,3.5
327,Southwest,Charlotte,Phoenix,08:00 AM,06:00 PM,Domestic,Boeing 737,23,126,None,Cancelled,33,Domestic,9.5,25kg,Non-refundable,Premium Economy,Yes,Games,2524,2 Stops,Group A,No,Spanish,Extra Legroom,Fully Booked,Non-Changeable,None,4.9
328,Spirit,Las Vegas,Seattle,04:00 PM,04:00 PM,International,Airbus A320,14,252,None,Cancelled,29,International,2.1,25kg,Refundable with Fee,First Class,No,Music,1242,2 Stops,Group C,Yes,English,Sleep Kit,Available,Non-Changeable,Student Discount,3.0
329,American,San Francisco,Atlanta,04:00 PM,02:00 PM,International,Airbus A350,19,719,Vegan,Delayed,26,International,7.4,25kg,Non-refundable,Economy,No,Movies & TV,3531,1 Stop,Group B,Yes,Spanish,Complimentary Drinks,Available,Non-Changeable,None,4.3
330,Alaska Airlines,San Francisco,Denver,08:00 AM,02:00 PM,International,Airbus A320,19,414,Vegetarian,On Time,40,Domestic,7.6,20kg,Refundable with Fee,Business,Yes,None,850,2 Stops,Group A,No,Chinese,Priority Boarding,Limited Availability,Fully Flexible,Student Discount,3.5
331,American,Atlanta,Seattle,10:00 AM,04:00 PM,International,Airbus A320,8,274,Vegetarian,Delayed,23,International,7.7,25kg,Non-refundable,Economy,Yes,None,4463,2 Stops,Group A,No,Spanish,Sleep Kit,Available,Changeable with Fee,Senior Citizen Discount,5.0
332,JetBlue,San Francisco,San Francisco,10:00 AM,10:00 AM,International,Airbus A320,27,538,Non-Vegetarian,On Time,10,Domestic,2.3,15kg,Fully Refundable,First Class,No,Movies & TV,826,1 Stop,Group B,No,Spanish,None,Available,Fully Flexible,Military Discount,4.3
333,Spirit,Orlando,New York,08:00 AM,10:00 AM,International,Boeing 777,10,312,Vegetarian,On Time,21,International,6.4,15kg,Refundable with Fee,Premium Economy,Yes,Music,4980,3+ Stops,Group D,Yes,Spanish,Priority Boarding,Limited Availability,Fully Flexible,None,3.1
334,Alaska Airlines,Seattle,Dallas,10:00 AM,08:00 PM,International,Embraer E190,14,511,Non-Vegetarian,On Time,30,Domestic,5.0,15kg,Non-refundable,Economy,No,Music,4104,3+ Stops,Group B,Yes,French,Extra Legroom,Fully Booked,Fully Flexible,Student Discount,4.3
335,Delta,Phoenix,San Francisco,08:00 AM,04:00 PM,International,Boeing 737,5,441,None,On Time,43,International,7.4,20kg,Refundable with Fee,Business,No,Games,4279,2 Stops,Group A,No,Spanish,Sleep Kit,Available,Changeable with Fee,Frequent Flyer Discount,3.5
336,Frontier,Phoenix,San Francisco,06:00 AM,08:00 PM,Domestic,Airbus A320,5,538,None,On Time,2,Domestic,11.9,30kg,Fully Refundable,Business,Yes,Games,3275,3+ Stops,Group D,Yes,English,Priority Boarding,Fully Booked,Non-Changeable,Military Discount,4.7
337,JetBlue,Orlando,Phoenix,06:00 AM,08:00 AM,Domestic,Boeing 737,23,516,Vegetarian,Delayed,29,Domestic,3.7,20kg,Refundable with Fee,Business,Yes,Movies & TV,1056,1 Stop,Group D,Yes,Chinese,Sleep Kit,Fully Booked,Changeable with Fee,Military Discount,3.6
338,Spirit,Houston,Orlando,08:00 PM,08:00 AM,Domestic,Boeing 777,20,634,Vegan,Cancelled,31,International,11.7,20kg,Fully Refundable,Business,Yes,Games,2178,None,Group D,Yes,English,Extra Legroom,Available,Fully Flexible,Student Discount,4.9
339,Delta,New York,Seattle,10:00 AM,04:00 PM,International,Embraer E190,5,100,Vegan,On Time,24,Domestic,1.2,20kg,Refundable with Fee,First Class,No,Movies & TV,3971,None,Group B,No,Chinese,Priority Boarding,Fully Booked,Fully Flexible,Military Discount,3.6
340,Frontier,Charlotte,Washington D.C.,12:00 PM,02:00 PM,International,Airbus A320,23,616,Non-Vegetarian,Delayed,5,International,5.8,30kg,Fully Refundable,Economy,Yes,Music,3515,2 Stops,Group A,No,Multilingual,Sleep Kit,Fully Booked,Non-Changeable,Frequent Flyer Discount,4.6
341,United,Denver,Boston,06:00 PM,10:00 AM,International,Embraer E190,22,689,Vegetarian,Cancelled,36,International,10.8,20kg,Refundable with Fee,Premium Economy,Yes,Music,798,1 Stop,Group B,Yes,English,Complimentary Drinks,Available,Fully Flexible,Frequent Flyer Discount,4.8
342,Frontier,Phoenix,Washington D.C.,08:00 PM,10:00 AM,International,Boeing 737,27,128,Non-Vegetarian,On Time,35,Domestic,2.3,15kg,Fully Refundable,Business,No,Music,2322,2 Stops,Group C,Yes,French,Extra Legroom,Available,Fully Flexible,Military Discount,4.0
343,Spirit,Houston,Atlanta,08:00 AM,02:00 PM,International,Boeing 777,12,345,None,Cancelled,28,Domestic,7.3,20kg,Refundable with Fee,Economy,No,None,1716,1 Stop,Group B,No,Spanish,Extra Legroom,Limited Availability,Non-Changeable,None,4.7
344,Southwest,Washington D.C.,Los Angeles,08:00 PM,10:00 AM,Domestic,Boeing 737,29,216,Non-Vegetarian,Cancelled,11,International,9.2,15kg,Non-refundable,Premium Economy,No,None,2236,2 Stops,Group D,No,French,Complimentary Drinks,Fully Booked,Non-Changeable,Military Discount,3.6
345,Alaska Airlines,San Francisco,Houston,04:00 PM,08:00 PM,Domestic,Boeing 777,26,557,Gluten-Free,Delayed,35,International,11.8,Unlimited,Refundable with Fee,Premium Economy,Yes,None,3725,None,Group B,No,Chinese,Extra Legroom,Fully Booked,Non-Changeable,Frequent Flyer Discount,4.7
346,JetBlue,Chicago,Chicago,08:00 PM,06:00 AM,Domestic,Boeing 737,19,681,Gluten-Free,Delayed,5,International,1.1,15kg,Fully Refundable,First Class,No,None,1003,3+ Stops,Group D,Yes,Spanish,None,Available,Changeable with Fee,Senior Citizen Discount,3.6
347,United,Washington D.C.,Dallas,06:00 AM,06:00 PM,International,Airbus A350,13,280,Vegan,Delayed,42,Domestic,1.8,15kg,Refundable with Fee,Economy,Yes,Movies & TV,3059,3+ Stops,Group C,No,Multilingual,Complimentary Drinks,Fully Booked,Changeable with Fee,Senior Citizen Discount,4.5
348,Alaska Airlines,Los Angeles,Charlotte,06:00 AM,06:00 AM,International,Boeing 777,18,647,None,Cancelled,42,Domestic,3.9,Unlimited,Non-refundable,Premium Economy,No,None,4137,None,Group A,Yes,English,None,Limited Availability,Fully Flexible,Senior Citizen Discount,4.2
349,United,Washington D.C.,Las Vegas,06:00 AM,02:00 PM,Domestic,Airbus A350,12,243,Non-Vegetarian,On Time,2,International,9.5,30kg,Fully Refundable,Premium Economy,Yes,Movies & TV,2423,1 Stop,Group D,No,Chinese,Complimentary Drinks,Fully Booked,Changeable with Fee,Senior Citizen Discount,4.6
350,Alaska Airlines,Phoenix,Orlando,06:00 PM,08:00 AM,Domestic,Boeing 737,5,227,Vegan,On Time,11,Domestic,4.5,20kg,Refundable with Fee,Business,No,Games,4630,3+ Stops,Group D,Yes,Multilingual,Complimentary Drinks,Available,Non-Changeable,Military Discount,3.4
